,T_a,RH,p_a,v_a,SnowHeight,SW_global,LW_in
2020-12-07 13:00:00,3.292896,38.38781,68.09776,1.424642,104.9,662.5143,242.1264
2020-12-07 13:30:00,3.902633,36.77378,68.01545,1.780076,104.8,615.4377,240.8311
2020-12-07 14:00:00,4.193261,35.009,67.95377,1.623556,104.9,521.1464,258.7896
2020-12-07 14:30:00,4.322379,33.38223,67.91785,1.59443,104.7,383.87,274.5777
2020-12-07 15:00:00,4.566413,31.98849,67.88806,1.493101,104.9,258.7466,281.0005
2020-12-07 15:30:00,5.104901,30.64686,67.87527,1.99352,104.7,254.7437,259.3066
2020-12-07 16:00:00,4.233915,33.2741,67.89771,3.084801,104.8,121.9862,282.4106
2020-12-07 16:30:00,3.957551,33.48753,67.8921,3.512128,104.7,83.46012,265.798
2020-12-07 17:00:00,3.819965,33.3502,67.88825,3.397484,104.6,25.98627,275.2412
2020-12-07 17:30:00,3.730556,34.32149,67.89693,2.796574,104.6,-0.4640397,281.7598
2020-12-07 18:00:00,3.628041,35.69406,67.8931,2.090695,104.6,-2.433643,283.7584
2020-12-07 18:30:00,3.533419,37.11652,67.92661,2.294891,104.6,-2.504647,280.4368
2020-12-07 19:00:00,3.370433,38.26042,67.94998,1.807349,104.5,-2.568998,276.7064
2020-12-07 19:30:00,3.167492,40.19771,67.97487,2.031242,104.5,-2.418324,275.6076
2020-12-07 20:00:00,2.923491,41.9649,68.00633,2.611016,104.5,-1.743708,287.5933
2020-12-07 20:30:00,2.834307,41.38883,68.03223,1.406653,104.6,-1.686134,291.1671
2020-12-07 21:00:00,2.554901,42.92152,68.04734,1.2305,104.5,-1.963947,284.2719
2020-12-07 21:30:00,2.33733,44.35374,68.04694,0.9170018,104.5,-2.199243,274.6276
2020-12-07 22:00:00,1.743131,46.08208,68.04934,0.9560864,104.5,-1.477046,282.9819
2020-12-07 22:30:00,1.664005,46.76418,68.06032,1.344197,104.6,-1.09204,290.6978
2020-12-07 23:00:00,1.521545,46.85937,68.06252,0.5993894,104.6,-1.595541,287.169
2020-12-07 23:30:00,1.28733,48.34228,68.05103,1.048135,104.6,-2.03968,269.0609
2020-12-08 00:00:00,0.9807513,49.16622,68.03834,0.7562072,104.5,-2.133862,263.6453
2020-12-08 00:30:00,0.8443304,49.30567,68.03196,0.7442016,104.5,-1.653938,256.1139
2020-12-08 01:00:00,0.5515121,50.09599,68.03635,0.8324137,104.5,-1.321764,264.3358
2020-12-08 01:30:00,0.2463079,51.52254,68.02392,0.8440351,104.5,-1.072088,269.2364
2020-12-08 02:00:00,0.2299175,51.94439,68.01143,0.5779068,104.5,-2.232947,245.7937
2020-12-08 02:30:00,0.2173473,52.67469,67.9909,0.5657825,104.5,-1.300364,246.6436
2020-12-08 03:00:00,-0.3778359,54.37138,67.97179,0.8979923,104.5,-0.9003954,256.9841
2020-12-08 03:30:00,-0.9757318,55.72099,67.95963,0.8778287,104.5,-1.650411,252.8713
2020-12-08 04:00:00,-1.205154,58.20056,67.95858,0.9391339,104.6,-0.6457273,275.3441
2020-12-08 04:30:00,-1.206364,61.17476,67.95222,0.7592104,104.6,-0.6848703,273.5555
2020-12-08 05:00:00,-0.9514563,60.98213,67.94949,0.8056947,104.5,-1.940507,253.0741
2020-12-08 05:30:00,-1.206402,61.68731,67.95142,0.4606251,104.5,-1.695201,249.8145
2020-12-08 06:00:00,-1.621866,63.86555,67.95393,0.3758492,104.6,-1.918043,233.7533
2020-12-08 06:30:00,-2.091552,65.15736,67.9599,0.5754507,104.5,-1.678046,228.1921
2020-12-08 07:00:00,-2.609438,66.74867,67.97103,0.5937538,104.4,-1.553509,224.4939
2020-12-08 07:30:00,-2.561513,66.54187,67.99078,0.6844628,104.4,4.228801,224.5724
2020-12-08 08:00:00,-1.505844,64.71833,68.01862,0.4166755,104.4,77.35071,236.3506
2020-12-08 08:30:00,-0.3602526,60.39043,68.01865,0.5313845,104.4,164.1636,231.9388
2020-12-08 09:00:00,-0.313916,57.48993,68.01851,0.7949765,104.4,307.7614,230.4353
2020-12-08 09:30:00,-0.01756109,56.08361,68.00446,0.8130754,104.6,310.0642,245.9657
2020-12-08 10:00:00,0.5896821,53.55227,68.00732,0.9054886,104.7,316.2785,271.7114
2020-12-08 10:30:00,1.244936,49.97156,67.97901,0.7240102,104.7,356.8628,270.497
2020-12-08 11:00:00,2.470111,46.16549,67.94184,0.9467847,104.7,465.4781,271.7064
2020-12-08 11:30:00,3.49435,43.26538,67.90451,1.109776,104.6,554.3942,280.5461
2020-12-08 12:00:00,4.258964,40.40145,67.85704,1.559421,105,465.3829,283.2773
2020-12-08 12:30:00,5.389563,37.98455,67.80614,1.147278,104.8,523.0588,280.2912
2020-12-08 13:00:00,6.36121,34.50099,67.74996,2.097863,104.6,521.7833,276.6717
2020-12-08 13:30:00,6.209122,33.19559,67.69569,3.037435,104.9,324.694,280.1871
2020-12-08 14:00:00,6.441461,33.97988,67.65527,3.557686,104.8,320.4726,278.9581
2020-12-08 14:30:00,6.447719,35.05856,67.61398,3.798028,104.8,353.7083,265.9007
2020-12-08 15:00:00,6.397757,33.79773,67.58867,3.547217,104.7,242.3304,266.6142
2020-12-08 15:30:00,6.295125,34.33816,67.56156,3.434033,104.7,175.922,266.4321
2020-12-08 16:00:00,5.957569,35.13261,67.54906,3.163144,104.6,96.00232,273.2068
2020-12-08 16:30:00,5.560431,36.49646,67.5513,2.612129,104.6,47.40878,290.7878
2020-12-08 17:00:00,5.469708,36.8408,67.5586,3.322714,104.7,20.41821,293.6445
2020-12-08 17:30:00,5.216545,37.31733,67.57899,2.598018,104.7,-0.907667,284.5426
2020-12-08 18:00:00,4.728228,39.74021,67.603,2.326135,104.7,-2.819746,282.9393
2020-12-08 18:30:00,4.12354,43.51699,67.6344,2.877138,104.7,-2.612568,285.363
2020-12-08 19:00:00,3.675724,46.8216,67.66135,2.848441,104.7,-2.516621,283.5199
2020-12-08 19:30:00,3.189421,50.54792,67.67871,3.250484,104.7,-2.642945,277.9444
2020-12-08 20:00:00,2.926579,53.29794,67.69643,3.365131,104.6,-2.247573,282.9199
2020-12-08 20:30:00,2.570879,56.50537,67.7125,3.417775,104.7,-3.138748,264.0361
2020-12-08 21:00:00,2.106452,60.85205,67.72453,2.94132,104.7,-3.132453,260.8466
2020-12-08 21:30:00,1.953733,62.84757,67.73461,4.352324,104.6,-3.152894,250.2594
2020-12-08 22:00:00,1.365077,68.80082,67.74498,5.618153,104.6,-1.96321,279.4217
2020-12-08 22:30:00,1.415455,69.25052,67.76522,3.088087,104.6,-1.597007,289.982
2020-12-08 23:00:00,1.219459,70.61182,67.77995,1.062195,104.6,-1.44882,290.5029
2020-12-08 23:30:00,1.327461,70.32626,67.78798,2.325607,104.6,-1.866892,278.4375
2020-12-09 00:00:00,0.8460719,73.63605,67.79217,1.646219,104.6,-1.188772,292.8766
2020-12-09 00:30:00,0.5555936,76.93,67.79186,2.011922,104.6,-1.354018,292.7744
2020-12-09 01:00:00,0.1711545,79.57894,67.78271,1.043431,104.6,-2.00178,280.655
2020-12-09 01:30:00,0.1391568,76.97211,67.78162,1.445674,104.6,-1.737232,271.3756
2020-12-09 02:00:00,-0.4601246,80.29518,67.78305,1.42909,104.6,-2.448211,263.4119
2020-12-09 02:30:00,-0.7505415,81.23643,67.78708,1.430965,104.6,-2.057456,262.0705
2020-12-09 03:00:00,-0.7611195,81.41543,67.77509,1.078536,104.7,-1.785183,261.1898
2020-12-09 03:30:00,-1.005306,82.8675,67.79227,1.222985,104.6,-1.427279,265.0079
2020-12-09 04:00:00,-0.7787039,81.50404,67.79284,1.162637,104.6,-1.61256,266.0822
